Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.005627588408421245,1.139474952938373,0.49897247702966824,1.85452505904073e-08,0.0001989555778656616,0.00023919288463978598
1,25.0,0.00776676833739715,1.0733345346815713,-0.3433657402296405,2.453747712081875e-08,6.387163986708751e-05,6.438908611265166e-05
2,32.5,0.009921677368786125,1.0271345317504177,-0.2609691170699535,7.10682879707805e-08,6.55588484135431e-05,6.556095756774205e-05
3,37.5,0.0099377637317561,0.9948582593354841,-0.2637637586578385,6.440585028667737e-08,6.0501689492299276e-05,6.050376099205207e-05
4,42.5,0.010623940534737891,0.9982839850781067,-0.24760315451368703,7.42349690250763e-08,5.3763274494717084e-05,5.376359345181813e-05
5,51.0,0.011237160192369679,0.96523564835506,-0.2366092821002974,3.6733026568992e-08,2.1713395513637412e-05,2.1713448154817246e-05
6,64.5,0.012619559453650623,0.962137626976563,-0.20699390354829425,4.680585670399651e-08,1.6791422013250157e-05,1.6791422487109634e-05
7,81.0,0.013858658825590082,0.9496195612508351,-0.18997413966962629,4.4822286635100785e-08,1.1229984189735945e-05,1.1229984146354131e-05
8,105.0,0.015459632718346997,0.9424085512825885,-0.16780640307728462,3.729179778464473e-08,5.8584266181214445e-06,5.858426606408369e-06
9,135.0,0.01668136167130365,0.9480054783550972,0.156533011555892,7.325137600690403e-08,8.59975246322287e-06,8.5997525197786e-06
10,175.0,0.018261893673297763,0.9453357013075178,0.14269210359086806,7.327285196224466e-08,5.964875289793685e-06,5.96487532272534e-06
11,250.0,0.020183084767168732,0.9565459305762959,0.12483758447723026,9.593322151510939e-08,4.893822293630911e-06,4.89382223923915e-06
12,350.0,0.02252185630792127,0.9604528898004556,0.1114864488786023,1.5179090643600625e-07,4.959644594570965e-06,4.959644575881784e-06
13,475.0,0.025013849987017056,0.9648008510017576,0.10049391789516983,2.3010590416533695e-07,4.9522983880940415e-06,4.952298448435244e-06
14,650.0,0.028527704060558448,0.9745364629306514,0.08660439540921576,2.99767452568183e-07,3.683720023161041e-06,3.683720007545963e-06
15,875.0,0.030932061733928415,0.9647457040600446,0.07872581918956312,7.996594640931158e-07,6.907257027885086e-06,6.907257061101852e-06
16,1125.0,0.03915422649494467,0.9899330053545108,0.056536590412522035,4.3219279469543355e-06,1.2017761695201616e-05,1.201776183543936e-05
17,1375.0,0.047849299909980145,1.0289520526418805,0.0429359771835968,2.4234029060417974e-05,2.602745845979176e-05,2.6027458452016764e-05
18,1625.0,1.368251264061467,0.9648262957401618,0.0017179492632798602,77.40427311834965,8.211906845264487e-05,1.7880644838040818e-05
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
