Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.0086095197532761,1.2977579333858158,0.31931193868184854,2.460221662200634e-08,4.506714196754578e-05,4.7101441398595146e-05
1,25.0,0.009312779170051709,1.0354448263936948,-0.2828325242942084,1.9628623343304044e-08,2.4139403496407104e-05,2.414497055459194e-05
2,32.5,0.00979175017921362,0.9956481271490701,-0.27159770316837756,2.9628142236362404e-08,3.0393592857227644e-05,3.0395738926345665e-05
3,37.5,0.010521748013441308,0.9945060318839084,-0.2508759270433338,3.285537373439464e-08,2.4905270815046284e-05,2.4905489689751276e-05
4,42.5,0.011367316898082583,0.9939342757864847,-0.22959218353415575,3.328507658229476e-08,1.8103709503130336e-05,1.810371899293806e-05
5,51.0,0.012172162071210168,0.9971622166949685,-0.21498286048001394,2.1084617336681184e-08,8.769462041694293e-06,8.769462411812644e-06
6,64.5,0.012933627956412699,0.9973448921740496,-0.20448431895983332,1.7824563041107077e-08,5.940583939280844e-06,5.940583985007685e-06
7,81.0,0.014352450473833617,0.997304844329405,-0.1811376228300935,2.7110577143967008e-08,5.757352702003262e-06,5.7573526567164115e-06
8,105.0,0.015063603461280047,0.9960645792239571,-0.17335805348341632,3.1819274212620136e-08,5.618967295004872e-06,5.618967281194688e-06
9,135.0,0.016124052854947883,1.000419637166892,0.163049824596081,5.083444990378595e-08,6.9308469867812725e-06,6.930847058539425e-06
10,175.0,0.016251506771900983,0.9971752776935909,0.1622987300540861,5.291668489289893e-08,7.036570000260023e-06,7.0365700866450755e-06
11,250.0,0.017375750959686177,1.0079385637133604,0.1519575061512459,6.59122386030494e-08,6.7215189185443755e-06,6.72151891403477e-06
12,350.0,0.017779990549721396,1.0078719188796106,0.15010695773606225,4.82076053430766e-07,4.5806193569472525e-05,4.580619370945866e-05
13,475.0,0.01570454382986874,1.000660076166911,0.17879105363671688,3.3336031845667657e-06,0.0005757096161587631,0.0005757096158601644
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
