Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.009486202652597383,1.2338579822544644,0.2847496739621776,3.404048633624826e-08,4.085886725075587e-05,4.1161528475759994e-05
1,25.0,0.010800513182083353,0.9948326811893722,-0.2428391675689802,2.3970693828757736e-08,1.6157817575411178e-05,1.6157871625187114e-05
2,32.5,0.010713297755163652,0.9767254716378506,-0.24898722041928237,3.527213003390903e-08,2.540217664634321e-05,2.540239458783364e-05
3,37.5,0.01124377092822396,0.9772587685666441,-0.23459439088639408,3.613477593474198e-08,2.097397271956147e-05,2.0974002110412247e-05
4,42.5,0.01208821222332887,0.9889625632301404,-0.2171917952336443,4.103612362795649e-08,1.766370137463927e-05,1.7663702767886738e-05
5,51.0,0.012971902817814615,0.9851131724225386,-0.20213739043530174,2.5156461925640217e-08,8.14457389871158e-06,8.144573883712912e-06
6,64.5,0.013812988293991399,0.9838651694213723,-0.19089260350214435,2.8804755286316893e-08,7.335080079215987e-06,7.335080041208833e-06
7,81.0,0.014366023528891658,0.9875226063564748,-0.1831626463675384,4.3411058735941025e-08,9.409682132257486e-06,9.409682244972685e-06
8,105.0,0.01573533936962561,0.9847228174251248,0.1660440286544666,3.458882248240385e-08,5.135262564840868e-06,5.135262562403694e-06
9,135.0,0.016073720714459235,0.9987925137042392,0.16344762145371594,5.132408633607319e-08,7.075867259239903e-06,7.075867244946722e-06
10,175.0,0.01676880921391516,0.9857103254836812,0.1553311115107283,7.424580085518428e-08,8.494590590064733e-06,8.494590548624044e-06
11,250.0,0.017305073676325732,0.9981431088294462,0.15318798031980713,9.017519570562122e-08,9.422012377592431e-06,9.422012152032251e-06
12,350.0,0.015877458802895258,1.0237465429231,0.1711279057675878,4.3581519711806505e-07,6.749454675682506e-05,6.749454519045443e-05
13,475.0,0.016621117228637388,0.9308868162475984,0.15043530234407762,4.695526734033293e-06,0.0005130869402295814,0.000513086934851005
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
