Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.010851616143168088,1.1925965474786333,0.24068602505755216,1.9369364503983664e-08,1.2703950823202918e-05,1.270730033095154e-05
1,25.0,0.01266213282466778,1.016738019186847,-0.20675711611378594,5.9427718379802426e-09,2.112706108931241e-06,2.1127061233610266e-06
2,32.5,0.01349698053192693,0.9929206252129943,-0.19297213351372997,1.0106061539143706e-08,2.7543326745240925e-06,2.754332667258992e-06
3,37.5,0.01420127648687676,0.9883556498172236,-0.18364953756176036,1.1036764402499732e-08,2.460952612648844e-06,2.460952580728643e-06
4,42.5,0.01549852278030844,0.9853522682436767,-0.16681269302400056,1.3046985230377342e-08,2.01522013072631e-06,2.0152201374058354e-06
5,51.0,0.01655929709050412,0.9810102818707549,0.15681421522691863,6.625132268215485e-09,7.921901888031609e-07,7.921901958275622e-07
6,64.5,0.018260408148729396,0.978266589433017,0.14202498465193353,7.172948580215862e-09,5.785583747039983e-07,5.785583820905892e-07
7,81.0,0.01973801957650084,0.9762654250998717,0.13143576102099008,6.367773125427317e-09,3.764786418701296e-07,3.764786392623516e-07
8,105.0,0.0216655369132447,0.9754220772743294,0.12008324313470815,8.036015563293953e-09,3.2916154490102813e-07,3.2916154350779906e-07
9,135.0,0.02409300560209986,0.9789962784081432,0.10762594220959366,1.1632313577869604e-08,3.0949728464490506e-07,3.09497288872407e-07
10,175.0,0.02741831492675933,0.9819438118397708,0.09394919869379675,1.1493969167521432e-08,1.7993117370964523e-07,1.7993117503384076e-07
11,250.0,0.031726097008590096,0.9836059779244958,0.08157600213007972,7.895109023276607e-09,6.959667601985953e-08,6.959667646488261e-08
12,350.0,0.03617126083651353,0.9833492903529448,0.07155272004560063,1.0865005756454088e-08,5.668813158732103e-08,5.6688130751288055e-08
13,475.0,0.040319304993274026,0.9862868051222541,0.06384199851424553,1.0460306211128422e-08,3.496811280101192e-08,3.496811237401876e-08
14,650.0,0.04368401436388842,0.9891179658659671,0.05869596206934342,1.8954680594469696e-08,4.5627683715082557e-08,4.56276832201004e-08
15,875.0,0.04714089750173776,0.9911447430659048,-0.05424960208108745,2.1310282273900495e-08,3.7629173277502795e-08,3.762917374559625e-08
16,1125.0,0.049679318993791015,0.9935772169076181,-0.05139724462846373,2.9379431003438758e-08,4.192890462850707e-08,4.192890396252836e-08
17,1375.0,0.051182736260823106,0.9948011245087831,-0.049679158322192336,3.2718863151483104e-08,4.109980396267764e-08,4.1099804013308034e-08
18,1625.0,0.0524689278836201,0.9957905947844767,-0.04859145152773548,3.043942252209614e-08,3.480928507967569e-08,3.4809284999178476e-08
19,1875.0,0.053224989034826066,0.997466015008989,-0.047556481472690926,6.965754642492962e-08,7.414763398521227e-08,7.414763423020246e-08
20,2125.0,0.05450589170597241,0.9980983107779916,-0.0463914039639302,7.644926083110029e-08,7.384176075208467e-08,7.384176227136689e-08
21,2375.0,0.054434223694008646,0.9990468782150168,-0.046178485253888776,1.0355659613511492e-07,9.937187193851789e-08,9.937187185402397e-08
22,2625.0,0.054460091765265554,0.9989279984414046,-0.046167169738489805,1.3624477094091686e-07,1.3055027527613394e-07,1.305502756050391e-07
23,2875.0,0.05400184561491476,0.9989785392610894,-0.046777103535596436,1.4682743614197327e-07,1.4689326072812e-07,1.468932618951645e-07
