Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.006184958065710175,1.0339825779419571,0.4326834582904114,1.0570933562742608e-08,6.868179737236223e-05,7.329029828347546e-05
1,25.0,0.009033950417337079,1.0255214649694946,-0.2906930525803568,3.0935927285464015e-09,4.270674951557757e-06,4.272216538307953e-06
2,32.5,0.010433230623386573,1.013392332274318,-0.2506634612381397,1.07634536257784e-08,8.28396480642705e-06,8.284040317609325e-06
3,37.5,0.011409199917193318,1.0142786619507975,-0.23073257476974088,1.2964174465474926e-08,7.069621468530215e-06,7.06962632520141e-06
4,42.5,0.012284693105760563,1.0096231767247543,-0.2138912634412393,1.2794317906727949e-08,5.171460346854854e-06,5.171460474352766e-06
5,51.0,0.013307239638695241,1.0039562111986324,-0.19675898309880627,6.184990712457973e-09,1.8028774246596119e-06,1.802877455471923e-06
6,64.5,0.015034026828201158,1.0036554088666205,-0.17301576130333288,9.10658886459269e-09,1.6081152970336346e-06,1.6081153060593045e-06
7,81.0,0.016975730892023463,0.9990258598283297,0.15278074933742566,1.0757635124055768e-08,1.161836353943849e-06,1.1618363716802189e-06
8,105.0,0.019019876312745373,0.9984066294574545,0.136181403562615,1.1306036365140785e-08,7.728069474654113e-07,7.728069444512911e-07
9,135.0,0.02163732733935679,0.9996904716921489,0.11909103803594262,1.7545960205147334e-08,7.087107148293402e-07,7.087107151116919e-07
10,175.0,0.02482679432840181,1.0013024953029048,0.10300420531629984,2.038969441269064e-08,4.6795560575536043e-07,4.679556014035522e-07
11,250.0,0.02809005733467644,1.0009276454560205,0.09053136788178962,2.9726285063689565e-08,4.116895822069434e-07,4.1168957929614946e-07
12,350.0,0.031732982836435754,1.0001728015528903,0.07915231533650985,5.640319247906176e-08,4.678821607091388e-07,4.678821560642833e-07
13,475.0,0.03469398814169454,1.0020938733868812,0.07186547105124247,6.910173499033833e-08,3.9533636647020053e-07,3.953363658399471e-07
14,650.0,0.03766199710806979,1.0007198913928914,0.06545075073875106,1.0885080428292334e-07,4.3832923809522537e-07,4.383292375528619e-07
15,875.0,0.04043345674150645,0.9993332436220498,0.06042295368554217,1.3484131356895987e-07,4.0150428838492304e-07,4.015042864517909e-07
16,1125.0,0.04351537738898579,0.9963143051772263,0.05590763295307363,2.0459343797187844e-07,4.5027692245330544e-07,4.502769246083519e-07
17,1375.0,0.04684059022077238,0.9970000861248627,0.0513059769405715,6.910406856762461e-07,1.1054751961420996e-06,1.1054752007277312e-06
18,1625.0,0.04647627652609122,0.9967563721052135,0.05229114785253629,2.280267644073821e-06,3.848021264247555e-06,3.848021244967646e-06
19,1875.0,0.03596683961232753,0.9818504574657667,0.06580908390110426,1.3071157845339215e-05,5.833501918190995e-05,5.833501920585711e-05
20,2125.0,1.0000000004447607,0.8299999743994286,0.0008584069167337354,3.297156548928458e-14,4.748605421983775e-11,7.872898201242941e-13
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
