Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.010472569454713665,1.0392960407397156,-0.2494034353228022,3.5437149801447105e-09,2.67983009939284e-06,2.679863144171084e-06
1,25.0,0.013732602009216156,1.008616664329121,-0.18972166177338715,6.8688778996243534e-09,1.7480211920544454e-06,1.7480212365789326e-06
2,32.5,0.015175321464840939,1.0018415725991894,-0.17213367329168,1.2717554202188996e-08,2.181672824702841e-06,2.1816728286416e-06
3,37.5,0.01635404294121782,0.9932670101466602,0.15967747382202555,1.739042120592551e-08,2.210504520256892e-06,2.2105045393694024e-06
4,42.5,0.016892576498615926,0.9925084305118307,0.15503405014054455,2.457018324004485e-08,2.7593822223655255e-06,2.759382224866207e-06
5,51.0,0.018128443798944096,0.988248511749087,0.14394916654662818,9.963944472079416e-09,8.376638761091377e-07,8.376638697349943e-07
6,64.5,0.019863335184274328,0.9859663004975117,0.1313930498365544,1.3492267059953642e-08,7.871516410139367e-07,7.871516413799546e-07
7,81.0,0.02150389449792801,0.9853222216598734,0.12179763164339129,1.2956907279355094e-08,5.542205470891151e-07,5.542205509075789e-07
8,105.0,0.02386023524657371,0.9889798127705056,0.10919090832367094,1.557981677148056e-08,4.350417960703492e-07,4.350417935002994e-07
9,135.0,0.027029233796510573,0.9907696570867005,0.09622282091463569,1.9208407351604544e-08,3.2457407197378767e-07,3.245740692867356e-07
10,175.0,0.030576110569155105,0.9928600788373648,0.0846669107877822,2.1973319419316315e-08,2.2465140035715543e-07,2.24651399557401e-07
11,250.0,0.03438838717779622,0.9953245268126613,0.07511928156717998,2.0314364511682217e-08,1.2924694338744962e-07,1.2924694239737158e-07
12,350.0,0.03867691856931137,0.9978146190117293,-0.06673380108956756,3.092802669495425e-08,1.2276710776076965e-07,1.2276710715395935e-07
13,475.0,0.04194183888833453,0.9992633886518205,-0.061462616434316907,3.5218751003526915e-08,1.0084191333139267e-07,1.0084191288183152e-07
14,650.0,0.04630413070155144,1.0017256552954092,-0.05501285229300333,6.751242331616999e-08,1.2706301049958253e-07,1.2706300963943143e-07
15,875.0,0.04839495229104285,1.0013956986686052,-0.05279166871539,7.21080798745325e-08,1.1440914970037026e-07,1.1440915030811716e-07
16,1125.0,0.052200718407381934,1.0034207860961437,-0.04831522492595413,2.2413081389791024e-07,2.559982202918754e-07,2.5599821719030576e-07
17,1375.0,0.05499157350052484,0.9993522442151567,-0.0449698121374002,1.143127123649265e-06,1.0192850490439943e-06,1.0192850502875625e-06
18,1625.0,0.0560959550185587,0.9975984499284557,-0.043864578892248145,5.604565516504783e-06,4.568647649871752e-06,4.56864764068173e-06
19,1875.0,0.10510697034358589,0.9932210705607171,-0.017242817362318735,3.646222754232925e-05,1.3085870237715887e-06,1.3085870633358482e-06
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
