Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.007366947598815411,1.0327477833593985,-0.3632892030498626,1.2109296657119082e-08,3.919603998723433e-05,3.967369335195412e-05
1,25.0,0.010437674994755024,1.0253076770803509,-0.25194751173909036,1.0362313376953131e-08,8.050263432428104e-06,8.050362819398265e-06
2,32.5,0.012079660517995361,1.0077091438128847,-0.21676081168623207,2.3942890993997802e-08,1.0278586433337143e-05,1.0278586923079186e-05
3,37.5,0.013176305496803984,1.007844695397137,-0.19950737158827772,4.15903822185973e-08,1.2713447560458157e-05,1.2713447841887804e-05
4,42.5,0.013665312709900686,0.9964788993227898,-0.19337910024195426,3.9994161927275167e-08,1.06786550026935e-05,1.0678655003306376e-05
5,51.0,0.014999753490872608,1.0045643846223233,-0.17415487339473665,2.0863318221223243e-08,3.7501613615012042e-06,3.750161405108806e-06
6,64.5,0.01654464390349656,1.0002054785971846,0.15740609754066578,2.64873568828474e-08,3.1969415093755816e-06,3.1969414561526886e-06
7,81.0,0.01734631875257039,0.9957422275901584,0.15135466623526103,2.1092562356253354e-08,2.1411470863606912e-06,2.1411470687613867e-06
8,105.0,0.02015394244961309,0.9990903209985217,0.1294902965285879,2.493584655123708e-08,1.3725328959457553e-06,1.372532914994167e-06
9,135.0,0.02187028874647986,1.0012421962964013,0.11876984292279101,3.445324293931417e-08,1.3547978465525255e-06,1.3547978699959284e-06
10,175.0,0.024255424700326423,1.00210567600782,0.10691500740098997,3.951882892283241e-08,1.0237623629865199e-06,1.0237623607162221e-06
11,250.0,0.02819508199431271,0.9984268802303599,0.09193444606502935,3.6759680137547275e-08,5.210788480784653e-07,5.210788497882834e-07
12,350.0,0.031422453423225916,1.00005438460312,0.0824297041961338,4.9941957096033685e-08,4.582208190883195e-07,4.582208148290691e-07
13,475.0,0.034262999782637006,1.0000371733983446,0.07436844777334128,5.27197717623709e-08,3.3115389213456154e-07,3.311538927101861e-07
14,650.0,0.036687436956922545,1.0030152216311292,-0.06926733897448646,6.288004351496856e-08,2.9886562590217764e-07,2.9886562324216146e-07
15,875.0,0.03750936533130275,1.0019373020331974,-0.06715577644043648,1.2053754252390914e-07,5.151876157216427e-07,5.151876302012943e-07
16,1125.0,0.03904604848098055,1.0040963868966648,0.0629469960044204,1.7662611678331937e-07,6.120437869213664e-07,6.120437687444268e-07
17,1375.0,0.039536450598912753,1.001661775805418,0.06291821682242335,4.522581583544214e-07,1.5270135664878313e-06,1.5270135693235214e-06
18,1625.0,0.04119377533088608,1.0058792842260977,-0.06030788137718084,2.0925192633016439e-07,5.980205700297253e-07,5.980205748111741e-07
19,1875.0,0.04725778741141885,1.0042421657679907,0.04984989856205181,3.4170711787260687e-06,5.070133286516445e-06,5.07013327522886e-06
20,2125.0,0.0414226549315276,1.0069333273118275,0.058705204450604405,5.285664784639941e-07,1.4154557675651505e-06,1.4154557474376826e-06
21,2375.0,0.046576975124209954,1.0063887760475803,0.048229901638900764,3.0075784319096965e-06,4.300449755335609e-06,4.300449753689284e-06
22,2625.0,0.04071037736502141,1.004070594643535,0.06099495962151367,9.006311527924803e-06,2.6958156882454064e-05,2.695815676237394e-05
23,2875.0,0.02505789296183147,0.9625034433767735,0.10775241956776635,4.0932165185643755e-05,0.001009755603140049,0.001009755603873846
