Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.0068254691360768805,1.0237053718171194,-0.38738683185837297,6.38043810973091e-09,2.7325760403357604e-05,2.798548800267032e-05
1,25.0,0.009886361256499773,1.0198643527222995,-0.2640231918566606,4.337696995713532e-09,4.1248633645248375e-06,4.125024910229971e-06
2,32.5,0.011530300858118923,1.0127877771206881,-0.2270399104367413,1.1404653563706396e-08,5.895971970085829e-06,5.89597423355732e-06
3,37.5,0.012310147294162552,1.0124809507023247,-0.21343728064406944,1.311612381049427e-08,5.257311209891658e-06,5.257311355353505e-06
4,42.5,0.013350415850716934,1.007490964920354,-0.19664150851358864,1.3803069091740213e-08,3.992842303961892e-06,3.992842265734607e-06
5,51.0,0.014628916830589605,1.0090449392139222,-0.17912135698988033,7.751854026304527e-09,1.5495898613352113e-06,1.5495898612619527e-06
6,64.5,0.01649366105627184,1.00430060068897,0.15788137378628267,8.435049240466996e-09,1.0305271370383064e-06,1.0305271426352958e-06
7,81.0,0.018726102512202535,1.0038886663291573,0.1379706677230171,1.5474605951303564e-08,1.1200769004097712e-06,1.1200768800592826e-06
8,105.0,0.020878529949421555,1.0033212222694323,0.12408820003305063,1.4291163570600042e-08,6.730855470702315e-07,6.730855500356647e-07
9,135.0,0.024194149003750668,1.0046730918071707,0.10574127608947884,2.661210650675588e-08,6.777795429972914e-07,6.777795327820532e-07
10,175.0,0.02584160395621303,1.0035983507066577,0.09849111808153134,3.071286279115315e-08,5.948559366779056e-07,5.948559285563345e-07
11,250.0,0.02965481281867628,1.0027923494466782,0.08497384827145558,3.553424589327375e-08,3.890208579010901e-07,3.890208618106326e-07
12,350.0,0.03311069465074529,1.0034746127390795,0.07490037168017889,7.937459537897464e-08,5.41579339369451e-07,5.415793452852992e-07
13,475.0,0.03666038703103217,1.0038154255538927,0.06704605413863159,9.251824132879399e-08,4.12595263058839e-07,4.1259525897131707e-07
14,650.0,0.040495947553273,1.005435434819474,0.05943972343001783,2.0036585747080904e-07,5.755703666762578e-07,5.755703753072483e-07
15,875.0,0.047400055251427015,1.0036303810862668,0.05016020633080092,5.220787769262747e-07,7.795526698524748e-07,7.795526754639404e-07
16,1125.0,0.058665416658418144,1.0096336453266384,-0.04078221073329167,4.2076265031344956e-06,2.7112370282840165e-06,2.711237051557257e-06
17,1375.0,0.5334522522328643,1.023338783478464,-0.0014930830561197686,0.1578956696130717,0.06373621293095762,0.0032025540607006444
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
