Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.005937450703184476,0.9399913747607548,0.45721255624788826,9.748171370643978e-09,7.68854254156699e-05,8.498451408731327e-05
1,25.0,0.008216217056224957,0.9653836088139769,-0.3216975853966733,7.154908836726049e-09,1.4618828477377996e-05,1.465315476226061e-05
2,32.5,0.009617169227715591,0.9754465305444405,-0.27574027103498044,1.3139766899204514e-08,1.4401602827148093e-05,1.440327526613682e-05
3,37.5,0.010168443114875803,0.972746762079966,-0.2593319958919714,1.685529191918484e-08,1.4617600041462566e-05,1.4618001358405694e-05
4,42.5,0.0109221250316182,0.9805342780922001,-0.24199325488493514,2.5887907556668958e-08,1.694401679947497e-05,1.694407601609672e-05
5,51.0,0.011849134492454323,0.983684373885772,-0.22115576526309394,1.3757056101579897e-08,6.389701472158197e-06,6.389702493219907e-06
6,64.5,0.01315716761543646,0.9803966617534442,-0.19846070982685632,1.6113598853353e-08,4.8882244795646335e-06,4.888224457904345e-06
7,81.0,0.013799604594174395,0.9805795821475339,-0.19047396199824895,1.6170375129876795e-08,4.107605375021147e-06,4.1076053221025815e-06
8,105.0,0.014728510409717323,0.9863005814118263,-0.1775535881169745,2.1829915121517193e-08,4.229931162550122e-06,4.229931174940405e-06
9,135.0,0.015661476547677505,0.9841835395766744,0.1663899909075223,4.370414163224136e-08,6.577500897244842e-06,6.577500878454682e-06
10,175.0,0.015951472136278098,0.9916890284620667,0.16366960337580855,3.407432502129073e-08,4.783099526967501e-06,4.783099548758514e-06
11,250.0,0.016029890320379336,0.9975156440476695,0.16594730471905927,7.300936857130549e-08,1.0433172487794952e-05,1.0433172562726208e-05
12,350.0,0.019407114989887234,1.0206758205922228,0.13296811072574805,3.5007126899475264e-07,2.19100902258346e-05,2.1910089992781936e-05
13,475.0,0.0175406657120104,0.9408164835521908,0.14733306792961046,2.227094066798919e-06,0.0002095729330471131,0.00020957293236189317
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
