Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.012947370763932204,1.134536862288968,-0.20013051929015802,2.8452688237047256e-08,9.06363824506917e-06,9.063641217468533e-06
1,25.0,0.012866251135602625,0.9968538810285432,-0.20662238907098077,9.872365340991802e-09,3.394787715784679e-06,3.3947877182991587e-06
2,32.5,0.013696042218737483,0.9972506455683693,-0.1911839618468674,1.8710267586120038e-08,4.861024399759475e-06,4.8610244205967e-06
3,37.5,0.014505388806260398,0.9958226297087261,-0.18189968689501976,1.6374194272891047e-08,3.4332297291802086e-06,3.4332297288533843e-06
4,42.5,0.01512990020197158,1.0000713639590644,0.17419629707286804,2.310144783440716e-08,4.083061136709977e-06,4.083061246100914e-06
5,51.0,0.016381429997016802,1.00353744562482,0.1603578388912647,1.1242682875543146e-08,1.4364386518303545e-06,1.4364386326067683e-06
6,64.5,0.018058137698072418,1.0047082827009928,0.14557217684942036,1.02481431130016e-08,8.879684396033294e-07,8.87968416251053e-07
7,81.0,0.020446855251616988,1.006548796830927,0.12825834687977333,1.6872339097842965e-08,8.852026344045537e-07,8.85202620920392e-07
8,105.0,0.02272841805418808,1.00631808199986,0.11511069288339895,1.3499924498490524e-08,4.617048161986839e-07,4.617048174812673e-07
9,135.0,0.025683429390629293,1.0045672003538457,0.10112669226698923,2.0377074171368726e-08,4.212197891083098e-07,4.212197884681193e-07
10,175.0,0.029042375787308884,1.0055821785848262,0.08965072439072935,2.5442886738254665e-08,3.23258562332027e-07,3.232585601045432e-07
11,250.0,0.03338539412180078,1.0046278817822993,-0.07737673521868053,2.0620274569142256e-08,1.4768770026832285e-07,1.4768769928290918e-07
12,350.0,0.039113685826285924,1.0049972887523437,-0.06595521384467953,2.9889762508138614e-08,1.1332130245803518e-07,1.1332130437585974e-07
13,475.0,0.042289204909600836,1.0054630719752873,-0.060595096261911716,3.2858839999629944e-08,8.995035173239773e-08,8.995035285570311e-08
14,650.0,0.04674751364847175,1.0077839873223664,-0.05453462840655744,1.1598192462055211e-07,2.104509182276623e-07,2.1045092004911103e-07
15,875.0,0.05015120740539462,1.0074979254720342,-0.050296060212395154,1.5532779946963732e-07,2.0830371455480312e-07,2.0830371718353567e-07
16,1125.0,0.05795776064291034,1.0058938970306162,-0.04347984056374618,3.070769652587467e-07,2.304188982277578e-07,2.304189019513341e-07
17,1375.0,0.05981714864079828,1.0029047866843124,-0.04017961403973331,8.470154278004451e-07,5.096032871240432e-07,5.096032902982977e-07
18,1625.0,0.08263568537936516,1.0061329569145903,-0.02681169395045868,5.976489585105889e-06,8.390117235001871e-07,8.390117235835206e-07
19,1875.0,0.061358867665207574,1.0066677638144725,-0.04459309494976934,3.4454803395650766e-05,2.4252478306433022e-05,2.425247807623122e-05
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
