Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.009354288279173437,1.2413711435981059,0.28750518150136817,2.1439795369125152e-08,2.6970928726822803e-05,2.721912179107795e-05
1,25.0,0.010552142631221553,1.0162492000791725,-0.25231868931412244,1.2268392035341902e-08,9.353013612706511e-06,9.35311932932444e-06
2,32.5,0.011660185369146571,0.9929252387564022,-0.22817066816189924,1.3499649149798259e-08,6.892278208197178e-06,6.892281195645066e-06
3,37.5,0.012858323053998985,1.000194734231853,-0.20364338326373974,1.8950277892052487e-08,6.337274445796467e-06,6.337274397646104e-06
4,42.5,0.013861910204612138,1.0071854881717461,-0.19024125261380845,1.6298265850778007e-08,4.09306404158592e-06,4.093064054095729e-06
5,51.0,0.015706959427929802,1.0052334382724142,0.16806327371105356,8.854986817060646e-09,1.3517158290347995e-06,1.3517158009183491e-06
6,64.5,0.01833065006999326,1.004186593230495,0.1434187588593368,1.1491854611792867e-08,9.379721270250377e-07,9.379721169307463e-07
7,81.0,0.02087758263662302,1.0047473199213168,0.12550451532982754,1.5222053633076275e-08,7.334468861883448e-07,7.334468848228474e-07
8,105.0,0.02393346454310979,1.005394593684334,0.11018533345620964,1.4606579176946757e-08,4.12785648463139e-07,4.1278564974992255e-07
9,135.0,0.02792857360563861,1.0053584488837342,0.09377913239002693,2.1740773334016368e-08,3.2683691941893633e-07,3.268369280759423e-07
10,175.0,0.030867495191207666,1.0046911356449766,0.08518229778944111,1.762263295710295e-08,1.7894019371772093e-07,1.78940193637777e-07
11,250.0,0.03613524686134777,1.0041735497581736,-0.07246321262187622,2.7321171162574933e-08,1.4649169110017907e-07,1.4649169369342989e-07
12,350.0,0.04161057776096924,1.003572532626533,-0.06346061912894524,9.185244016765678e-08,2.848703024902123e-07,2.848702993044305e-07
13,475.0,0.0479351692897718,1.0020678442913327,-0.055071270449895036,1.1343560023394584e-07,1.9963426731094663e-07,1.996342650200414e-07
14,650.0,0.04958294123940316,0.9972852576026068,-0.053696767944979025,1.4451044454065244e-06,2.260040440998448e-06,2.260040455134937e-06
15,875.0,0.16632500030089098,1.0146073694359463,-0.008151671675764494,0.00011383766100527424,3.6466545036815626e-07,3.6470718106113067e-07
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
