Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.009339383215412734,1.265198622754444,0.29025395863281783,1.8448209257528014e-08,2.37229025891899e-05,2.4058125023487266e-05
1,25.0,0.010690432958427634,1.0411354557582337,-0.2494514388317866,8.71948074285198e-09,6.329933089626918e-06,6.330014814737979e-06
2,32.5,0.011274864761571622,1.0049535174930957,-0.23465462232015372,1.6211026337376747e-08,9.36254417245568e-06,9.36255469360619e-06
3,37.5,0.01245082512132017,1.0012475012055044,-0.2116544012914468,1.7194436734916343e-08,6.625076953946622e-06,6.6250770201249505e-06
4,42.5,0.013038258772334105,0.9988546610066931,-0.20143728762238186,2.1983952239845325e-08,6.996211402106339e-06,6.996211431889264e-06
5,51.0,0.014298399814519013,0.9945010747800959,-0.18286365234393226,1.4727104289895693e-08,3.211634539223197e-06,3.211634509258016e-06
6,64.5,0.015943483412304334,0.9886248919321778,0.16280100982351747,1.3917196859791491e-08,1.934839498531439e-06,1.9348395164603885e-06
7,81.0,0.01795170654088666,0.9909753419370791,0.1438116510226578,1.9741271371672897e-08,1.6892641148556137e-06,1.6892641247938526e-06
8,105.0,0.019950507256131723,0.9884237036088002,0.12918217194787715,1.9874982406617943e-08,1.111060435459556e-06,1.111060440328167e-06
9,135.0,0.02207823941280829,0.9884778999217516,0.11500362019249194,4.2568095862760405e-08,1.5400531585800592e-06,1.5400531401981993e-06
10,175.0,0.02440056812556697,0.9902306450845408,0.10329686973374333,4.923457923418438e-08,1.1765267290482071e-06,1.1765267273955184e-06
11,250.0,0.02730710391322004,0.9899022224964975,0.09125236006285585,6.852238491340547e-08,1.0202736069666899e-06,1.0202735865835573e-06
12,350.0,0.031079559391902406,0.9920847888349192,0.07878024640380454,1.1073429284781818e-07,9.485978655351172e-07,9.485978619873423e-07
13,475.0,0.03427640762561131,0.9952490481982873,0.06984515390869103,1.781061735020549e-07,9.861026120097156e-07,9.86102635875803e-07
14,650.0,0.03694077798347184,0.9947976999966436,0.0649863585012682,2.699717903188275e-07,1.1140572635771335e-06,1.114057263572461e-06
15,875.0,0.04242657409309645,0.987952675383833,0.05801217399311158,4.6881243531888617e-07,1.1687611370202452e-06,1.1687611486727204e-06
16,1125.0,0.055777134585774886,1.0147109849614981,0.03096803865925725,1.0986548662212815e-05,4.516471320741694e-06,4.516471329345045e-06
17,1375.0,0.0341734626270398,0.9452451143184406,0.08429569817562417,0.0001096719934767811,0.0008895118372321922,0.0008895118353099416
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
