Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.008763740964354698,1.3063890980835748,0.31277050500237163,2.1130642719608855e-08,3.583573506819399e-05,3.73626100946423e-05
1,25.0,0.009737982399619883,1.0707648549241697,-0.27429149750400983,1.1177288893201716e-08,1.1823225574848987e-05,1.1825887930489512e-05
2,32.5,0.010467514087255818,1.022746486048245,-0.25538895214293983,1.794443560038305e-08,1.4241648106721126e-05,1.42418924033359e-05
3,37.5,0.011397424269053907,1.015945023596641,-0.23272567671516264,2.089459643753304e-08,1.1615735153474705e-05,1.1615746098056419e-05
4,42.5,0.012199492243051615,1.0034665878473907,-0.21693252054563267,2.5685365416225907e-08,1.0829228500767907e-05,1.082922917913275e-05
5,51.0,0.013441498252339328,0.9953664869319448,-0.1953178903362634,1.448385918275938e-08,4.077636411082038e-06,4.077636409308923e-06
6,64.5,0.015037848415666301,0.9923042427367446,-0.17359182668052453,1.429599528512873e-08,2.5400326557872182e-06,2.5400326248561695e-06
7,81.0,0.01692652436686673,0.9883252265302138,0.15344910404634055,1.8746878499363536e-08,2.0543546367115013e-06,2.054354629383873e-06
8,105.0,0.01861195847343275,0.980258925440726,0.13854607423429074,1.828260060226103e-08,1.350827907746351e-06,1.3508279126863422e-06
9,135.0,0.020055042845561255,0.9814243885547911,0.12806229122252366,3.8128982572101284e-08,2.0729747478277615e-06,2.072974718144895e-06
10,175.0,0.0221240270699414,0.9767298198038181,0.11491025929718207,4.1330604628695085e-08,1.4866344633919887e-06,1.4866344497622875e-06
11,250.0,0.024951160095149534,0.9792229221369615,0.10019954941007381,6.485269676865025e-08,1.3945135747682325e-06,1.3945135754522213e-06
12,350.0,0.028143783665924908,0.9810953402281991,0.08702369154761913,1.3024676955365406e-07,1.6605047168903847e-06,1.6605047062713732e-06
13,475.0,0.03101875826590817,0.9851601350225263,0.07954112962053668,1.8598838945146588e-07,1.6306121948448602e-06,1.6306121775737656e-06
14,650.0,0.037587387468435624,0.9882967294841689,0.06392462136690999,2.627770531989449e-07,1.0134252141389232e-06,1.013425196253605e-06
15,875.0,0.044188539637610144,0.9836786886875022,0.05507759257870824,5.599285053724945e-07,1.159897493661774e-06,1.1598974879668006e-06
16,1125.0,0.05206207277839216,0.9938669133973953,0.04599126470803895,5.292797190271124e-06,5.5073195344544346e-06,5.5073195994748545e-06
17,1375.0,0.5789507781107065,0.8766649721085049,0.001476519485497508,0.013438489332282616,0.04620203989317642,0.002267710627276452
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
