Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.006982793627859334,0.9653465939871579,-0.3845992434990427,3.099148117433486e-09,1.2501252133772815e-05,1.2789330849361265e-05
1,25.0,0.009656334199847258,0.9814912780613579,-0.273006171199689,4.434316937060495e-09,4.725837924647589e-06,4.726248148727398e-06
2,32.5,0.011332171878738218,0.982431368829156,-0.23252078246896551,1.2808485546387532e-08,7.190111622720857e-06,7.19011842388609e-06
3,37.5,0.012366207715511335,0.9748687117339426,-0.21370854218534657,1.32652854293316e-08,5.282343350478995e-06,5.282343621525117e-06
4,42.5,0.013376377217859187,0.974795810614113,-0.1962313298199848,2.204717379654132e-08,6.326277134284805e-06,6.326277213696895e-06
5,51.0,0.014318193370677555,0.9725527554804653,-0.18441473597219635,1.0881417100316688e-08,2.4068256587421682e-06,2.406825703023407e-06
6,64.5,0.016161716173429964,0.9795273768274154,0.16237562030845548,1.1314585398129107e-08,1.5227614773237584e-06,1.5227614780857253e-06
7,81.0,0.017977515625537472,0.9755945897468669,0.14595240933576728,1.5776160565068927e-08,1.3864484148660057e-06,1.3864484324410682e-06
8,105.0,0.01969967159829087,0.976890059204106,0.13258443740035694,1.879760657827142e-08,1.1352886705111149e-06,1.1352886659786723e-06
9,135.0,0.021261949745983097,0.9797206077163724,0.12251304087908228,3.6237906367817274e-08,1.6041994014167481e-06,1.6041993883694403e-06
10,175.0,0.023558760995343785,0.9861681632029827,0.1105400387548572,3.5906037901717506e-08,1.05398066791967e-06,1.0539806709163545e-06
11,250.0,0.025686268513777106,0.9848268883113777,0.1003728770877562,4.74613714975127e-08,9.66273897437389e-07,9.66273892809847e-07
12,350.0,0.02892036528717409,0.9883294256934488,0.08877383033549492,2.0014883708508517e-07,2.514536321642928e-06,2.514536306274538e-06
13,475.0,0.03332474044741286,0.9895848175557239,0.07257742420037233,8.536499986941205e-07,5.398507702146776e-06,5.398507754266481e-06
14,650.0,0.028313973505628972,0.9985108355959432,0.09756530102886972,8.758430669687793e-06,0.0001387179460615399,0.00013871794624496168
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
