PT Bin,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,0.012866733116477734,1.0390358638204658,-0.19534204326159313,1.1264246768673246e-08,3.4618759542005737e-06,3.461875987145812e-06
1,0.016497440462651995,1.0159995733220721,0.15319838892896004,1.422100563232146e-08,1.6351209817660333e-06,1.635120982538879e-06
2,0.01856794102448435,1.0060340221393762,0.13638969580132382,1.856483115253918e-08,1.3355878595135418e-06,1.3355878505186907e-06
3,0.01919788562632023,1.0051048030977292,0.13313839846586836,2.3429769959381096e-08,1.502435847323734e-06,1.5024358519422023e-06
4,0.020055794949395068,1.0035706913513271,0.12753574464172612,2.382445857560075e-08,1.2845229060083092e-06,1.2845228925589017e-06
5,0.02095890268248289,1.0043513502626777,0.12245467703588243,2.0906781476231757e-08,9.51552127329838e-07,9.515521353794494e-07
6,0.022507023224667893,1.002089066624234,0.1142216356059107,2.0283220275893683e-08,6.965154654309065e-07,6.965154652716653e-07
7,0.02412768573699084,1.0024048433205812,0.1072463532415519,1.934355625002796e-08,5.095654098841928e-07,5.095654089315954e-07
8,0.026061774369440807,1.001621965950871,0.09936690438996627,1.6232906259679153e-08,3.1463899097322636e-07,3.146389865969053e-07
9,0.027804117832505804,1.0010724069115406,0.09373660896111376,1.745289649871136e-08,2.6448261403901217e-07,2.644826151492892e-07
10,0.030739701796477264,1.0010509133150605,-0.0849746618472008,2.1196780942473563e-08,2.1596606762526685e-07,2.1596606757752058e-07
11,0.03524792511634163,0.998965901031678,-0.07432398460865892,1.1698478073044666e-08,6.935197750707554e-08,6.935197802041957e-08
12,0.03982526008221771,0.9989891888663366,-0.06565999382526161,8.975781084307347e-09,3.25307968425508e-08,3.253079632365907e-08
13,0.044329011793464615,0.9995461764642517,-0.05911694280676816,1.0990808436231645e-08,2.6062390304214263e-08,2.606239024622587e-08
14,0.04803712589613884,1.0001809549554719,-0.05464827158308402,8.143283691524176e-09,1.4051957353051694e-08,1.405195729910798e-08
15,0.05126862619069122,1.0002752298812985,-0.051116699040007436,9.071161266361535e-09,1.2023303645938442e-08,1.2023303468993205e-08
16,0.054291038525280264,1.0009020855467272,-0.0479177895197614,1.4702496574095513e-08,1.527097729433076e-08,1.527097704945027e-08
17,0.05564545552144409,1.0014384089556496,-0.04691369367048865,2.2668253200467082e-08,2.148307314497346e-08,2.1483073466980746e-08
18,0.056846024664464555,1.0023607600848907,-0.04588964050410488,2.8076928789575507e-08,2.439594042813342e-08,2.439594095641678e-08
19,0.058443168985494544,1.0023406447748382,-0.04413844917550853,3.81615289460647e-08,2.9022363407688465e-08,2.9022363270729154e-08
20,0.05957416511638244,1.0008245955991992,-0.04329422049765925,5.097548893834951e-08,3.58962118387474e-08,3.589621253633771e-08
21,0.06008467793011328,1.000352292176813,-0.042686870432853755,8.208814413845977e-08,5.524372985108797e-08,5.52437292824642e-08
22,0.0597940630557581,0.9987787829645112,-0.04270850448249955,1.218671080397629e-07,8.289820863980907e-08,8.289820903667847e-08
23,0.059785401902786424,0.9976475137590879,-0.04252464232486809,1.5926521678918153e-07,1.0743694373980669e-07,1.0743694429287404e-07
