Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.013393456166609134,1.1212969727690096,-0.18996812752403275,2.7903785800714632e-08,7.485078620985553e-06,7.485078842051722e-06
1,25.0,0.014655771729623146,0.9990760783042174,-0.1782313732035841,5.338993829667537e-09,1.052805097373128e-06,1.0528051004545744e-06
2,32.5,0.015609629563425383,0.9979142659350368,0.16642151496033822,8.74104633376321e-09,1.3247551273247988e-06,1.3247551194969304e-06
3,37.5,0.016513564549262248,0.9945601062380246,0.15645505982149727,1.1491900546201799e-08,1.375408660213275e-06,1.375408653409351e-06
4,42.5,0.017223989894716147,1.0024789606004703,0.15053995176335086,1.5503853181182965e-08,1.5791744648937762e-06,1.579174428299673e-06
5,51.0,0.0183700192633276,1.0010841557336958,0.14124771718654508,7.323974797275803e-09,5.773426273320216e-07,5.773426216486542e-07
6,64.5,0.020227586561002913,1.0009568494730325,0.12840769524024365,9.769019047834861e-09,5.249009577250676e-07,5.24900955491071e-07
7,81.0,0.021750170657302607,1.0017928725451155,0.11957383845841245,1.1180784748690432e-08,4.5056868973570783e-07,4.5056869405406015e-07
8,105.0,0.024092257875753517,1.0030243302258715,0.10802141130563254,1.0118228693704545e-08,2.712095191324935e-07,2.712095190525554e-07
9,135.0,0.02567406931006947,1.0026997483174007,0.10169345925436975,2.0248965265438014e-08,4.235959418248515e-07,4.2359593717529827e-07
10,175.0,0.028699483186201937,1.0037694036003497,0.09081775773325654,1.426799940433858e-08,1.9050027548809361e-07,1.9050027330607623e-07
11,250.0,0.03259775217163914,1.0031743630245897,-0.0801205409881565,1.2978901738853873e-08,1.0454155834770653e-07,1.04541557693074e-07
12,350.0,0.03663586659344032,1.002814172629305,-0.071096973000039,1.1274262611155976e-08,5.6613028735879237e-08,5.66130296846159e-08
13,475.0,0.039443400468185175,1.003065871193361,-0.06588479727894346,8.256969022544567e-09,3.0717158018303674e-08,3.0717157604561326e-08
14,650.0,0.04274838055837649,1.0029996959389091,-0.060778695836076355,1.2361320990243691e-08,3.331710034113489e-08,3.331709976416015e-08
15,875.0,0.045435969235772616,1.0034951730909747,-0.05674877081951383,1.296579572597703e-08,2.696817408875173e-08,2.6968173660990428e-08
16,1125.0,0.046356178839649306,1.003527952164563,-0.055595914629375215,1.7447879733311253e-08,3.346204336321858e-08,3.346204334187189e-08
17,1375.0,0.04835923876275244,1.0038651330781334,-0.05304216059427989,3.3669414457956147e-08,5.400738660338307e-08,5.4007386387497065e-08
18,1625.0,0.04920833130358021,1.0032982311231735,-0.05174958767227968,3.377270214452856e-08,4.980079485520254e-08,4.980079495014101e-08
19,1875.0,0.04975661079815126,1.0038909415246402,-0.05123731980105983,4.38909516669918e-08,6.205486014938532e-08,6.205486087605332e-08
20,2125.0,0.05056702916133319,1.0033112490022738,-0.04996708670467067,7.738238706570678e-08,1.0074419875990675e-07,1.0074419899628486e-07
21,2375.0,0.04990881495404891,1.0053496314373351,-0.050851541186749796,7.449386670587232e-08,1.0311134072821027e-07,1.0311134139483292e-07
22,2625.0,0.05064184505596546,1.004016858856475,-0.05010220850874983,1.5606649061619672e-07,2.0367373863147826e-07,2.036737371398829e-07
23,2875.0,0.05077604591121875,1.0064913655767365,-0.0496829323131387,2.8190991635025604e-07,3.5986273860052743e-07,3.598627396633739e-07
