Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.01002839658594991,1.0240300116206096,-0.2547886789842825,3.778867972208329e-09,3.252362647786031e-06,3.252415947670754e-06
1,25.0,0.014006961071326299,1.0123994371631269,-0.1822963933205665,6.393637184839686e-09,1.4439056623472073e-06,1.443905661833608e-06
2,32.5,0.01618047332444985,1.0072116904353827,0.15861080726394786,9.770929341535095e-09,1.2518881768249943e-06,1.2518881546577669e-06
3,37.5,0.017278654649639676,1.0054673594120003,0.1490428408769878,7.849329530652914e-09,7.787102323581595e-07,7.78710239218885e-07
4,42.5,0.018061610234855092,1.0055712223597844,0.14264410325024116,1.2153004871822433e-08,1.0107001777891033e-06,1.0107001988634544e-06
5,51.0,0.01932622167986284,1.0039473693089096,0.1334825343590939,9.858426226417158e-09,6.270436184999354e-07,6.270436119397889e-07
6,64.5,0.021100279895482164,1.0033767188484135,0.12215495036888963,1.1547183059823644e-08,5.160098774483488e-07,5.160098771695445e-07
7,81.0,0.022672339028997616,1.0020143503492718,0.11408518236744596,1.2120802633672726e-08,4.091957434763608e-07,4.091957426297448e-07
8,105.0,0.02482960697149485,1.0017515032470243,0.10448834685046726,1.1426945919791052e-08,2.698131020510617e-07,2.698131037372625e-07
9,135.0,0.02726125399403152,1.0017545717828127,0.09550942882360625,1.6721706726672396e-08,2.7366302418004325e-07,2.736630212228521e-07
10,175.0,0.030286599551027717,1.0012623537601593,0.08598625659112644,1.6202109608271833e-08,1.7412607560678906e-07,1.741260755797692e-07
11,250.0,0.03453018139625456,0.9997144609425374,-0.07561568171633798,8.312709406029154e-09,5.3151404089597174e-08,5.315140355667057e-08
12,350.0,0.03926506999069376,0.9994991802026081,-0.06665945513544465,9.880710844265085e-09,3.7969938043848357e-08,3.796993827424489e-08
13,475.0,0.04329297509898571,0.9996444248332839,-0.06051146211306058,8.028309189059281e-09,2.091220201259723e-08,2.0912202359068748e-08
14,650.0,0.047523876010803726,0.9997225948637527,-0.05500126930669326,6.5269865590978644e-09,1.1656606224659716e-08,1.1656606150810057e-08
15,875.0,0.0511244419241709,1.0002162759303217,-0.05102605390140755,7.267111532616866e-09,9.652229891390719e-09,9.652229774886153e-09
16,1125.0,0.053622699387207894,1.0009342295435857,-0.048521405080461336,1.633946345607663e-08,1.783785146355272e-08,1.7837851264672242e-08
17,1375.0,0.05512550111744521,1.0015291356533091,-0.047128423979398266,2.569356097626081e-08,2.5039328125843346e-08,2.5039328481926713e-08
18,1625.0,0.05660524795151266,1.0017476671647805,-0.04573760069571082,1.8258704619521972e-08,1.5894282868674405e-08,1.5894283055967385e-08
19,1875.0,0.057494077942266235,1.0010189241293217,-0.04494128964186028,2.963304343551764e-08,2.4141271150916573e-08,2.414127117978619e-08
20,2125.0,0.058813630246915605,1.0007587486578287,-0.043587723335868925,5.270573738472212e-08,3.859852557397076e-08,3.859852556591817e-08
21,2375.0,0.05867764141336888,0.9999588296589962,-0.04365518145260782,7.458728223158132e-08,5.504767398918567e-08,5.504767402515343e-08
22,2625.0,0.058718487383349796,0.9983211451199526,-0.043277619791425644,1.1041795553595568e-07,7.997623653590759e-08,7.99762358379124e-08
23,2875.0,0.05882292727438969,0.9969651329496204,0.042873053275875206,1.6810916586167534e-07,1.1907397624227391e-07,1.1907397635683802e-07
