Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.009225839642302018,1.2675555730301011,-0.2934954287349038,2.1022993590579535e-08,2.832292571606488e-05,2.8782426493979574e-05
1,25.0,0.010599752975527224,1.0449067378275159,-0.25073140158463925,1.2889963656008725e-08,9.616276234558286e-06,9.616431441512759e-06
2,32.5,0.011349711565876261,1.019158726094282,-0.23413852930342244,1.596913046109426e-08,9.061416300327024e-06,9.061427442542321e-06
3,37.5,0.012167526639053081,1.005018591868997,-0.2172654239659893,1.506275161864259e-08,6.403605740487808e-06,6.40360616094061e-06
4,42.5,0.013532751128897708,1.0082340561684537,-0.19412085540897514,2.6040389720447627e-08,7.144069101393505e-06,7.144069185220909e-06
5,51.0,0.014608877166735939,1.0089484226503986,-0.1793361268539288,1.1780953895041593e-08,2.3672131704835763e-06,2.367213164576543e-06
6,64.5,0.016404057335051538,1.0041168870313313,0.16019022852344253,1.5628313023041688e-08,1.987109403214719e-06,1.9871093825788483e-06
7,81.0,0.01894972025568239,1.00415564067576,0.13684332600628457,1.7218865283155693e-08,1.1972436916644672e-06,1.19724369493322e-06
8,105.0,0.021492424924549326,0.999306799717384,0.12061605365488257,1.8920629580258834e-08,7.94550424621978e-07,7.945504244304836e-07
9,135.0,0.02409670182399634,1.000666466463375,0.10581960547189806,3.5249245181256424e-08,9.063881939062366e-07,9.063881872596685e-07
10,175.0,0.027228919486147748,0.999219895966244,0.09341339921263594,4.302383639204287e-08,6.751484234698279e-07,6.751484354319776e-07
11,250.0,0.0302683947947808,0.9978550671400792,0.08411590933999048,4.5086493713041976e-08,4.642667968063066e-07,4.642667921806116e-07
12,350.0,0.03504007684905104,0.9999759327940206,0.07207889690481582,6.459162638502417e-08,3.6442215355482787e-07,3.644221500915242e-07
13,475.0,0.0385857600157346,0.9990417754992845,0.06499465693980601,1.414933229642678e-07,5.352861648341618e-07,5.352861646090007e-07
14,650.0,0.04198547666515626,0.9957467532710952,0.05977500446070267,3.8450564612973964e-07,1.0392059460898352e-06,1.0392059559751965e-06
15,875.0,0.05035107551137609,0.9968709817603643,0.04913332447169203,3.6985504372305667e-06,4.696473475430451e-06,4.696473523032888e-06
16,1125.0,1.0000078595074124,0.996670047131965,-0.0008526378885906818,4.3404763355445696e-07,1.9984961343289163e-08,3.2694384631465074e-10
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
