Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.010257956286826918,0.9805532089009902,-0.25427445464010356,3.6823718391311612e-09,3.016809429379013e-06,3.0168533632330783e-06
1,25.0,0.013060013868789615,0.9868579914711478,-0.19955764017156546,4.836301204261316e-09,1.5055562563951233e-06,1.5055562516904319e-06
2,32.5,0.014394577285139851,0.9869911879412198,-0.1823949866760968,7.1110096879588705e-09,1.5222750589179338e-06,1.522275038013317e-06
3,37.5,0.01532156098298807,0.9920383062539158,0.17084982059815754,1.2329460164670661e-08,2.044162651041368e-06,2.0441626589322124e-06
4,42.5,0.016027670232594615,0.99461132631493,0.16338553363238623,1.3376450748345744e-08,1.8534028788919176e-06,1.8534028801459116e-06
5,51.0,0.01711402744213423,0.9934061987830977,0.15292880974874476,5.80189080820973e-09,6.17715968274692e-07,6.177159747077641e-07
6,64.5,0.0180002327973312,0.9960959620191786,0.1460517262009595,8.417354664278016e-09,7.388808270108205e-07,7.388808168269683e-07
7,81.0,0.019645278298360123,0.9968488378193534,0.1334978104313266,8.895897998622458e-09,5.477301602467218e-07,5.477301569667728e-07
8,105.0,0.021110152339088417,0.9995495100282455,0.12436504016842911,1.0822918157116226e-08,5.00839956986851e-07,5.008399552664165e-07
9,135.0,0.02328668805531854,1.0000495233703701,0.11252728161779517,1.2207986093453309e-08,3.800880836711485e-07,3.800880835133784e-07
10,175.0,0.025603037977792443,0.9992965721866766,0.10240894195643106,9.32970847670104e-09,1.9902226036263602e-07,1.9902225950684205e-07
11,250.0,0.029133138656444662,0.9984461413554603,0.09025052075027205,1.2106396416802842e-08,1.5490959023642402e-07,1.5490959039330026e-07
12,350.0,0.03221491433008461,0.9985850227611172,-0.08139573020584105,1.1555330337277057e-08,9.835814501111916e-08,9.835814650480832e-08
13,475.0,0.034810423657569665,0.9992625654050032,-0.07512620538437838,1.1207243156962976e-08,6.959950136358661e-08,6.959950115056309e-08
14,650.0,0.03730837401669275,1.0000263024885723,-0.06990658869378756,1.3978412250857063e-08,6.543650853073469e-08,6.543650896343247e-08
15,875.0,0.03872974998018651,1.001480917905485,-0.0670818105619224,1.4119127429411285e-08,5.6476868276958235e-08,5.647686936523959e-08
16,1125.0,0.04005076464470419,1.000849658092291,-0.064904251709121,2.583984495881856e-08,9.048092293706439e-08,9.048092174290578e-08
17,1375.0,0.04139729606628539,1.0030727438589513,-0.062282702588424305,2.661567245435096e-08,8.032811870322913e-08,8.032811728726124e-08
18,1625.0,0.04180040193434482,1.0038326348861761,-0.06174438590724096,6.483695050702747e-08,1.88624121308829e-07,1.8862412242873145e-07
19,1875.0,0.041827984478731456,1.0022751008764157,-0.061667066281385824,1.0192216184556616e-07,2.953733720593295e-07,2.9537337665258266e-07
20,2125.0,0.043738306047904366,1.0027775435152266,-0.0588172049332221,1.5365346022839527e-07,3.704729641270888e-07,3.7047295937321266e-07
21,2375.0,0.043501409058054843,0.9981889321045418,-0.058743972234824596,3.0209316292113675e-07,7.345201176180158e-07,7.345201293438135e-07
22,2625.0,0.04626866243544153,0.9969682919996155,-0.05447507562857563,3.5313050286266055e-07,6.526968249053821e-07,6.526968203710758e-07
23,2875.0,0.04410046326044468,1.0032537348030255,-0.05862372017164024,7.981975188696675e-07,1.8806593138344373e-06,1.8806593419397784e-06
