Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.00981058992234153,1.2268118608399117,0.27148875439291936,1.519868661554634e-08,1.5510462683413052e-05,1.5567638822409497e-05
1,25.0,0.011841194215275136,1.020342332055336,-0.2232817182526716,7.629458023458904e-09,3.616969404623865e-06,3.6169702997637406e-06
2,32.5,0.013250586210132762,1.0087156029363171,-0.19870943316537654,1.147405343960532e-08,3.4404508443639683e-06,3.4404508126273827e-06
3,37.5,0.014365372151529448,1.0132903633231773,-0.18225304963887395,1.1490385687086066e-08,2.465954381002538e-06,2.4659543650454977e-06
4,42.5,0.015396980285650367,1.0100562029972393,0.1701902833590766,1.3910287850485898e-08,2.2660999938913074e-06,2.266099982491425e-06
5,51.0,0.01634407075345809,1.0087998907484907,0.1610626879283329,8.47896870135823e-09,1.097878737190145e-06,1.0978787543006144e-06
6,64.5,0.018339827468645847,1.009841601720115,0.14280065803754655,1.407408241454258e-08,1.137723570257117e-06,1.1377235853030468e-06
7,81.0,0.019599334540743835,1.0081203988776475,0.13413470771408664,1.5675524595121095e-08,9.789456765155825e-07,9.789456617165657e-07
8,105.0,0.020906899188291132,1.008746105403526,0.12547405152419147,1.876012853273514e-08,9.009511605072824e-07,9.009511543445831e-07
9,135.0,0.02217039807428695,1.011686925284142,0.11849538249453914,4.846135894456958e-08,1.8458343493760303e-06,1.845834332050923e-06
10,175.0,0.023393100683535423,1.0111371923755865,0.11198155475790694,5.937201877357275e-08,1.814013210170283e-06,1.814013212975317e-06
11,250.0,0.025124724704793218,1.017190838306115,0.1034373227446166,2.634995952389711e-07,5.9542998933052625e-06,5.954299966364407e-06
12,350.0,0.03270318700232069,1.0209933060257073,0.07730875595540927,3.4994434846673723e-06,2.6071957037191834e-05,2.6071957151218572e-05
13,475.0,0.0636112822358046,0.9766666666151117,0.037719446891036915,0.00016503555140631873,7.73044423268229e-05,7.730444201604398e-05
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
