Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.00864108578303444,1.2920979505651065,-0.31710298056938235,2.432167171143473e-08,4.360439115456567e-05,4.537727757175885e-05
1,25.0,0.009877078078947166,1.0468561450603195,-0.2689044360951838,2.0342373065600387e-08,2.010253359942816e-05,2.0104396552065273e-05
2,32.5,0.011214894654762497,1.0142727110075995,-0.23637044392442266,3.364163827819237e-08,1.9926593770155177e-05,1.9926624292653098e-05
3,37.5,0.01211252267448561,1.0114171649179458,-0.21738151791374136,3.2255855955725245e-08,1.3852157023291063e-05,1.3852158007090187e-05
4,42.5,0.013446057369839432,1.0266432352183914,-0.19416238255693036,5.7406245642976384e-08,1.5959744665767218e-05,1.5959744984759735e-05
5,51.0,0.014452032098613513,1.0208358962691986,-0.1817893298435999,2.9783211536861927e-08,6.2835162654199565e-06,6.283516316643355e-06
6,64.5,0.01676993581266913,1.0206469383165668,0.15712258408861274,4.163080045576431e-08,4.872996131319481e-06,4.872996153665652e-06
7,81.0,0.0174647862175505,1.0122514350431306,0.15123959261243192,4.759535464892767e-08,4.758909277677926e-06,4.758909289897094e-06
8,105.0,0.018830828448269835,1.0134541955473153,0.13912759846782277,6.91967695776717e-08,5.036265845970797e-06,5.036265809758563e-06
9,135.0,0.021962558341986415,1.0212097594737133,0.11924338062412476,1.2115223067639155e-07,4.761799418797341e-06,4.761799463390466e-06
10,175.0,0.021485740170355334,1.0195155205595785,0.12355043818137083,1.4986208548022383e-07,6.607119161599485e-06,6.6071191029317564e-06
11,250.0,0.024015402628774933,1.027361938040864,0.11091694262629877,3.709553892695587e-07,1.0550583206162077e-05,1.05505833950599e-05
12,350.0,0.05335369987926935,1.0238485015431027,-0.03940133509295556,2.0684633727589303e-05,1.5049462654350168e-05,1.5049462607975201e-05
13,475.0,0.6578025981542669,0.9900131373833956,-0.0013521457225358295,3.933402821389262,0.17500362732103525,0.00790186065542534
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
