Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.006694894471473662,0.9589467067389823,-0.4032556959319886,5.065604638457962e-09,2.441823826079857e-05,2.5328098230708587e-05
1,25.0,0.008914225768928285,0.9782261970810836,-0.29673941974949686,8.064626100062207e-09,1.1914786090234577e-05,1.192103345401967e-05
2,32.5,0.010085107389653188,0.9789498997928572,-0.26264402585547325,1.566804861360558e-08,1.4168290136781054e-05,1.416878287387907e-05
3,37.5,0.011148561684536892,0.9776961195927825,-0.23387906682240708,2.1714988842383893e-08,1.2742400318492225e-05,1.2742416353186939e-05
4,42.5,0.011431018315426802,0.9795438222291306,-0.22998787318611433,2.5701366654734856e-08,1.3871581952755027e-05,1.3871591592397703e-05
5,51.0,0.012257711955975878,0.9810081889980604,-0.21536617561904417,1.3759777699891106e-08,5.663661972843331e-06,5.663662335807958e-06
6,64.5,0.013738773393395458,0.9869861400408082,-0.1901889700553057,1.912882466769154e-08,4.887598047280005e-06,4.887598123357829e-06
7,81.0,0.014388099583373084,0.9907805323704457,-0.18202619671154704,2.311855058635394e-08,4.933506924287297e-06,4.933506985694129e-06
8,105.0,0.015144942321783941,0.9861707932350132,0.17282950630454988,2.7791825155908195e-08,4.825681488504052e-06,4.825681496216639e-06
9,135.0,0.015927033107547832,0.9968151339519093,0.16548371247843643,4.667800308349071e-08,6.7193936788498855e-06,6.719393796065935e-06
10,175.0,0.016923559251302112,0.9869709696146557,0.15405384060767238,4.5606030281094224e-08,5.038825140029913e-06,5.038825180045052e-06
11,250.0,0.017281338668543127,0.9948700861920333,0.15137788891933732,7.843583617243939e-08,8.025056611319723e-06,8.025056709908325e-06
12,350.0,0.01669777854396708,1.0001101196727422,0.15847072934605597,4.179092570525341e-07,5.018759207412382e-05,5.01875924948289e-05
13,475.0,0.013768321515981155,0.99785183883619,0.1987930708239064,3.0146406618287145e-06,0.0008380735728100978,0.000838073582789955
14,650.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
15,875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
16,1125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
17,1375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
18,1625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
19,1875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
20,2125.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
21,2375.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
22,2625.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
23,2875.0,5.396722254703551e-19,1.0000000002405658,1.000000004095004,1.883705299168631e-39,3.269867950280483e-20,1.1869308730100174e-19
