Bin,PT Center Bin Value,Amplitude,Mean,Standard Deviation,Var(Amplitude),Var(Mean),Var(Standard Deviation)
0,15.0,0.01298250936709591,1.033505978886381,-0.19182571270359072,1.3283165533322463e-08,3.866803329785656e-06,3.866803315290825e-06
1,25.0,0.016649549977743813,1.0153012623925737,-0.15023772213035466,1.586785524115234e-08,1.7227223826920428e-06,1.7227224164672427e-06
2,32.5,0.01846431636889175,1.0101024445657014,0.1364068436558594,2.1677332257934237e-08,1.5775072984543014e-06,1.5775072779245773e-06
3,37.5,0.01960819942713424,1.0082264713298679,0.12855231099971715,2.0924927807369723e-08,1.1992314073092543e-06,1.1992313987963595e-06
4,42.5,0.02013943973101385,1.0060187076890246,0.12600815003029922,1.9622676606548064e-08,1.0242214062767655e-06,1.024221383063279e-06
5,51.0,0.02134292306529383,1.0050893329822255,0.11893978281829558,1.9616571991168052e-08,8.122786452952531e-07,8.122786669114111e-07
6,64.5,0.022678748984777647,1.0033396955734961,0.11272286715575552,1.723067147152063e-08,5.675750561894741e-07,5.675750578687496e-07
7,81.0,0.02403562704258784,1.0045054072882496,0.1071949553196814,1.718585273254448e-08,4.557756206358627e-07,4.557756235871017e-07
8,105.0,0.02591328864723274,1.0042521455664353,0.09961363148672125,1.6626065313072927e-08,3.2758450967957503e-07,3.2758450424281026e-07
9,135.0,0.028210589718337124,1.0029796538820686,0.0918825578002511,1.5481067664839187e-08,2.1896766642736021e-07,2.1896767129526476e-07
10,175.0,0.031306619867917995,1.0038255931813629,-0.08287388223776411,1.3948553747724812e-08,1.3032856569604995e-07,1.3032856478002174e-07
11,250.0,0.03556713535472266,1.0020911087489872,-0.07316798944119535,8.658280203519168e-09,4.885657106719568e-08,4.885657126656867e-08
12,350.0,0.040390964324215156,1.0017654061793049,-0.06456528734027742,8.807784846991379e-09,3.000793329471624e-08,3.000793390204207e-08
13,475.0,0.04471837030496393,1.001685450503755,-0.0582171930413497,8.061094926608184e-09,1.821636714617433e-08,1.8216366932100397e-08
14,650.0,0.04909206153097444,1.0018039055798535,-0.05297460382393839,6.834413056196066e-09,1.061084749550464e-08,1.0610847369373834e-08
15,875.0,0.05331381605731539,1.0013491814643662,-0.04865058180800887,8.01744479993206e-09,8.901578835969814e-09,8.901578964861534e-09
16,1125.0,0.0565645195943481,1.0017459080977396,-0.045766478210429035,9.022603379179495e-09,7.875495829055439e-09,7.875495971799627e-09
17,1375.0,0.058270967962812406,1.0023800951594561,-0.04423036449933148,1.4642911726990876e-08,1.1248719917865502e-08,1.1248719886124972e-08
18,1625.0,0.059698691767723515,1.002851753901344,-0.04300393720937878,2.3423632329236956e-08,1.620617930193216e-08,1.620617939811501e-08
19,1875.0,0.060434867612676656,1.0024722402528408,-0.04237578543647281,2.609209665334583e-08,1.7104511025832642e-08,1.7104511080809672e-08
20,2125.0,0.061145565160919575,1.0026588480298464,-0.04177933356360884,4.833146337199062e-08,3.0085943620038104e-08,3.0085943047756386e-08
21,2375.0,0.062070119539044545,1.0034493125300339,-0.04095405605907544,6.71398643983864e-08,3.897201790282024e-08,3.8972018596155e-08
22,2625.0,0.06166774915349553,1.002973782507457,-0.04105311043863772,9.016344041261797e-08,5.327924839625919e-08,5.32792492960436e-08
23,2875.0,0.06057090901072926,1.0031955550106202,-0.04159978147609373,1.0381150619503628e-07,6.528901288305333e-08,6.528901410059017e-08
